"UniqueKey","RECSTATUS","GlobalRecordId","FirstSaveLogonName","FirstSaveTime","LastSaveLogonName","LastSaveTime","FKEY","group_order","study_id_expo","trial_expo","active_igredient","order_active_ingredient","selectioncriteria","ABtradename","Frequency_of_administration","Intervaldays","TSactiveingredient","Ts_Conc","TstradeName","Administrationregime","ABpreparation","TSprepration","Concentration","Route","TS","More","PICO12","PICO34","PICO5","TeatpreparationbeforeDCTinfusion1","DepthofinsertionofDCTsyringecannula","TeatsprayordippingafterDCTinfusion"
1,1,063c80c1-d680-4dc1-9097-24b98e3881bc,ADDS\mafifi,1/6/2019 8:38:59 PM,ADDS\mafifi,6/2/2019 2:58:13 AM,04189abf-65cf-47fb-a4cb-e9084a68fe24,1,709,1,Cephalonium,1_Cephalonium,,Cepravin,1,,,,,Blanket,Commercial,,250,Intra-mammary,False,"(AB; 250 mg of cephalonium, Cepravin Dry Cow, Intervet Schering-Plough Animal Health, Milton Keynes, UK) ",Not-used,Not-used,Control,Not-reported,Full,Yes
2,1,82c3ff03-f480-4a8d-8009-aa27abe13b3c,ADDS\mafifi,1/6/2019 9:01:05 PM,ADDS\mafifi,10/31/2019 1:51:10 PM,04189abf-65cf-47fb-a4cb-e9084a68fe24,2,709,1,Cephalonium,2_Cephalonium+TS,,Cepravin,1,,bismuth subnitrate,65,OrbeSeal,Blanket,Commercial,Commercial,250,Intra-mammary,True,"ABTS; 250 mg of cephalonium, Cepravin Dry Cow,
Intervet Schering-Plough Animal Health; 65% bismuth
subnitrate in a mineral oil base, OrbeSeal Pfizer Animal Health, Sandwich, UK",Not-used,Not-used,Treatment,Not-reported,Full,Yes
3,1,bc0e4a34-21f0-4361-9680-bc6734a22fb2,ADDS\mafifi,1/6/2019 9:07:16 PM,ADDS\mafifi,10/31/2019 1:50:16 PM,04189abf-65cf-47fb-a4cb-e9084a68fe24,3,709,1,TS only,3_TS only,,,,,bismuth subnitrate,65,OrbeSeal,,,Commercial,,,False," 65% bismuth subnitrate in a mineral oil base, OrbeSeal Pfizer Animal Health, Sandwich, UK",Control,Not-used,Not-used,Not-reported,Full,Yes
4,1,3cc767d4-d034-417c-b485-9c8b27861d42,ADDS\mafifi,1/6/2019 10:07:05 PM,ADDS\mafifi,6/2/2019 2:47:34 AM,04189abf-65cf-47fb-a4cb-e9084a68fe24,4,709,1,Cephalonium,4_Cephalonium+TS,,Cepravin,1,,bismuth subnitrate,65,OrbeSeal ,Blanket,Commercial,Commercial,250,Intra-mammary,True,"250 mg of cephalonium, Cepravin Dry Cow,
Intervet Schering-Plough Animal Health; 65% bismuth
subnitrate in a mineral oil base, OrbeSeal Pfizer Animal Health, Sandwich, UK",Treatment,Not-used,Not-used,Not-reported,Full,
5,1,8fc60e5d-16d9-4db0-a2b6-8af8237c6395,ADDS\mafifi,3/20/2019 4:05:43 PM,ADDS\mafifi,3/26/2019 2:12:34 PM,cf64bc24-726c-4dba-ae35-b8f914bcc7d0,1,25,1,Cloxa,1_Cloxa,,"Orbenin, Roger Bellon)",1,,,,,Blanket,Commercial,,500,Intra-mammary,False,"Cloxacillin benzathin, 500 mg per dose (Orbenin, Roger Bellon)",Treatment,Not-used,Not-used,Not-reported,Not-reported,Not-reported
6,1,1f5b76df-b33f-4550-8bc2-8a3af01a9825,ADDS\mafifi,3/20/2019 5:05:56 PM,ADDS\mafifi,3/26/2019 2:12:54 PM,cf64bc24-726c-4dba-ae35-b8f914bcc7d0,2,25,1,Pen+strept,2_Pen+strept,,"(Combisec, Pfizer-Clin)",1,,,,,Blanket,Commercial,,1000,Intra-mammary,False,"Procaine penicillinG,1million units and dihydrostreptomycin, 1 g per dose (Combisec, Pfizer-Clin).",Treatment,Not-used,Not-used,Not-reported,Not-reported,Not-reported
7,1,f5214058-4423-4691-8da7-3a23954e4f42,ADDS\mafifi,3/21/2019 10:59:35 AM,ADDS\mafifi,3/21/2019 11:39:12 AM,abe97a58-cdd3-43ce-a893-6eb4299e5aee,1,59,1,-ve control,1_-ve control,,,,,,,,,,,,,False,,Control,Not-used,Not-used,Not-reported,,Not-reported
8,1,56904588-58e8-45f4-8ae4-b38e62ad5b89,ADDS\mafifi,3/21/2019 11:12:39 AM,ADDS\mafifi,3/21/2019 11:35:00 AM,abe97a58-cdd3-43ce-a893-6eb4299e5aee,2,59,1,Spiramycin,2_Spiramycin,,"5ml/100Kg; Suanovil, 20, Rhone Merieux",1,,,,,Blanket,Commercial,,5,IM,False,,Treatment,Not-used,Not-used,Not-reported,,Not-reported
9,1,6436e0f0-4e3e-42a1-a7bf-727c3bdd2d4a,ADDS\mafifi,3/21/2019 11:13:26 AM,ADDS\mafifi,3/21/2019 11:36:19 AM,abe97a58-cdd3-43ce-a893-6eb4299e5aee,3,59,1,Spiramycin,3_Spiramycin,,"5ml/100Kg; Suanovil, 20, Rhone Merieux",4,1,,,,Blanket,Commercial,,5,IM,False,,Treatment,Not-used,Not-used,Not-reported,,Not-reported
10,1,03f324a2-66f8-4547-b115-fb2bf939aba9,ADDS\mafifi,3/21/2019 11:19:54 AM,ADDS\mafifi,3/21/2019 11:49:34 AM,abe97a58-cdd3-43ce-a893-6eb4299e5aee,4,59,1,Spiramycin+Neomycin,4_Spiramycin+Neomycin,,"Speciorlac, Rhone Merieux",1,,,,,Blanket,Commercial,,1.2,Intra-mammary,False,Spiramycin 1.2 million IU+Neomycin 100000IU,Treatment,Not-used,Not-used,Not-reported,Full,Not-reported
