"UniqueKey","UniqueRowId","GlobalRecordId","RECSTATUS","FKEY","Pathogenspp","Comparisongroup","Estimate","SE","LCI","UCI","Pvalue1"
1,7153f600-3ca3-4da9-a486-07ceeeac8e4c,0e8ff245-0b52-4f52-b464-5ac1fb551adc,1,273971c1-c7d7-4bae-8a72-c36475229345,S.aureus,Cefquinome,0.109,,,,
2,9051ef88-0638-47c7-bf5c-746c7014860c,162ff902-8b34-425a-b4d7-08572ea7259e,1,6a82df2d-b572-4d17-ad8f-1a57d54a7f8f,Non-pathogen specific,Cloxa,0.88,,0.57,1.35,
3,34d30e35-80d4-43c5-960a-cc1091750a79,162ff902-8b34-425a-b4d7-08572ea7259e,1,6a82df2d-b572-4d17-ad8f-1a57d54a7f8f,Major Pathogens,Cloxa,0.67,,0.4,1.12,
4,f7ce00f4-1c10-4bdf-903f-21fb17d25c57,162ff902-8b34-425a-b4d7-08572ea7259e,1,6a82df2d-b572-4d17-ad8f-1a57d54a7f8f,Gram-Ve,Cloxa,0.5,,0.2,1.26,
5,0d8670f9-34c2-41f9-b491-fdc0acc91fb9,162ff902-8b34-425a-b4d7-08572ea7259e,1,6a82df2d-b572-4d17-ad8f-1a57d54a7f8f,Strept.spp (no specification),Cloxa,0.64,,0.28,1.48,
6,062bef7b-ca54-4d6d-bfb4-06fbcb752bf8,2818567c-989a-401b-b0b4-c6c0b453d6d9,1,a391157b-6687-4a59-83ac-327569faab03,Non-pathogen specific,Cloxa,0.51,,0.3,0.85,
7,bec8ad0b-e817-48c6-9306-273bd40c8824,2818567c-989a-401b-b0b4-c6c0b453d6d9,1,a391157b-6687-4a59-83ac-327569faab03,Major Pathogens,Cloxa,0.49,,0.28,0.89,
8,f732971c-e114-47ef-a89d-e3dcd92e91bd,2818567c-989a-401b-b0b4-c6c0b453d6d9,1,a391157b-6687-4a59-83ac-327569faab03,Gram-Ve,Cloxa,0.47,,0.13,1.66,
9,b22564d2-50e9-4853-a90a-d05eb47b731b,2818567c-989a-401b-b0b4-c6c0b453d6d9,1,a391157b-6687-4a59-83ac-327569faab03,Strept.spp (no specification),Cloxa,0.41,,0.18,0.91,
10,34f1bc27-af6f-4698-a6d5-3fb52e830283,0880876f-b705-485a-b97a-bb86fca89b01,1,58a391d9-2167-40ad-b3fc-44847a842372,Non-pathogen specific,Cloxa,0.7,,0.56,0.87,
11,62f1d828-9ae5-4c62-bbea-cec537930dd1,0880876f-b705-485a-b97a-bb86fca89b01,1,58a391d9-2167-40ad-b3fc-44847a842372,Major Pathogens,Cloxa,0.71,,0.54,0.93,
12,4b75fa7c-ee71-4f26-9e08-25ec8cfc3197,0880876f-b705-485a-b97a-bb86fca89b01,1,58a391d9-2167-40ad-b3fc-44847a842372,Minor Pathogens,Cloxa,0.69,,0.45,1.06,
13,807af617-4287-4294-9118-bf778bb2eafb,0880876f-b705-485a-b97a-bb86fca89b01,1,58a391d9-2167-40ad-b3fc-44847a842372,Contagious pathogens,Cloxa,0.59,,0.26,1.33,
14,8beacf08-5994-41f9-bbaf-4449d935dfe6,0880876f-b705-485a-b97a-bb86fca89b01,1,58a391d9-2167-40ad-b3fc-44847a842372,Environmental,Cloxa,0.68,,0.49,0.95,
15,63a32764-117d-400d-95e9-e2e8561763a3,0880876f-b705-485a-b97a-bb86fca89b01,1,58a391d9-2167-40ad-b3fc-44847a842372,Gram-Ve,Cloxa,0.87,,0.63,1.21,
16,d936eb74-fc74-4a97-87dc-e26eeb993982,83ea8091-d6e3-46a1-aae7-291775581512,1,4f23d80f-08d3-4d79-a14a-2fe756203012,Non-pathogen specific,Placebo,-0.4362,0.25,-0.92,0.05,
17,a0d5b20e-3466-41bd-b4bf-2b0cc1b27c57,620f69cf-3cda-42c4-8452-879fdda402df,1,47149688-82ec-46a8-bc23-1ea4ad2d4fb2,Major Pathogens,Cephalonium,-0.42,0.17,,,
18,e90e4555-8581-4a73-a347-a40537736615,620f69cf-3cda-42c4-8452-879fdda402df,1,47149688-82ec-46a8-bc23-1ea4ad2d4fb2,Enterobacteriaceae (no specification),Cephalonium,-1.21,0.31,,,
19,026a28f2-4333-4c1f-9353-d03e12d0f415,620f69cf-3cda-42c4-8452-879fdda402df,1,47149688-82ec-46a8-bc23-1ea4ad2d4fb2,E. coli,Cephalonium,-1.22,0.38,,,
20,a1d3ca19-9e71-4c9a-886e-ec743592c7fe,3aed6f2a-da72-4a93-83f9-648162d13b47,1,7cd05f0d-f45c-4f50-b045-fc1f46358fc8,Non-pathogen specific,Cephapirin,0.05,0.13,,,
21,061bbfbd-d66d-496b-90b0-1fb6dbb92a33,d4110c23-554e-490b-96ec-2ed0fbc6ea96,1,cbc8f439-bffa-41c3-acdd-0e0570df3051,Non-pathogen specific,Cephapirin,-0.17,0.13,,,
27,55ea283a-495e-49a7-8bbd-91f6b5ad4962,c88b6579-9e21-419f-9349-e90f498a8ecf,1,f53faffd-3e7b-4bc2-aad8-c484e9a94bd6,S.aureus,Pen+strept,-0.84,0.51,,,
28,7f5c38b4-1559-4324-ac85-cb3521355e9a,c88b6579-9e21-419f-9349-e90f498a8ecf,1,f53faffd-3e7b-4bc2-aad8-c484e9a94bd6,Environmental,Pen+strept,-1.59,0.38,,,
29,fbb6e00d-96cb-4697-9205-d0b53ac7a570,c88b6579-9e21-419f-9349-e90f498a8ecf,1,f53faffd-3e7b-4bc2-aad8-c484e9a94bd6,Gram-Ve,Pen+strept,-0.89,0.54,,,
30,c7cf1598-da89-4245-9c9f-d73e32a5ce70,c88b6579-9e21-419f-9349-e90f498a8ecf,1,f53faffd-3e7b-4bc2-aad8-c484e9a94bd6,Others,Pen+strept,-0.51,0.23,,,
31,bbe33be7-86cf-4713-a183-ad16bba8343b,c88b6579-9e21-419f-9349-e90f498a8ecf,1,f53faffd-3e7b-4bc2-aad8-c484e9a94bd6,Others,Pen+strept,0.27,0.72,,,
32,d95c4acc-5f80-4514-8ef5-7f14faa19f80,c88b6579-9e21-419f-9349-e90f498a8ecf,1,f53faffd-3e7b-4bc2-aad8-c484e9a94bd6,Non-pathogen specific,Pen+strept,-0.88,0.17,,,
33,40397cfd-a004-4ac9-8dd0-b57852516092,79a626c1-09d0-4e45-8e2c-83229e616186,1,89a2e24c-5985-4851-8918-784ea20a308d,Non-pathogen specific,Ab mixture,-1.693708,,,,0.001
