"UniqueKey","RECSTATUS","GlobalRecordId","FirstSaveLogonName","FirstSaveTime","LastSaveLogonName","LastSaveTime","FKEY","study_id_expo","trial_expo","Group_expo","Time1","dayspostcalving","from1","to1","Def","COV","DetectionMethod","Ounit1","stratifyingvariable","study_id_expo1","T","trial_expo1","U","Estimatetype","Estimatescale","Group_expo1","CIlevel"
1,1,8c57ae0d-6376-477a-8e28-552c2fc5fd43,ADDS\mafifi,1/6/2019 11:23:15 PM,ADDS\mafifi,1/7/2019 12:30:08 AM,063c80c1-d680-4dc1-9097-24b98e3881bc,709,1,1_Cephalonium,1,,0,10,-,,Culture,Quarter,No-stratification (totals),709,1,1,Quarter,,,1_Cephalonium,
2,1,97425907-7e02-4923-9d6f-f11276fcc668,ADDS\mafifi,1/7/2019 12:08:14 AM,ADDS\mafifi,1/7/2019 12:29:56 AM,82c3ff03-f480-4a8d-8009-aa27abe13b3c,709,1,2_Cephalonium+TS,1,,0,10,-,,Culture,Quarter,No-stratification (totals),,,,,,,,
3,1,5d2c4cba-575f-4eb5-9e46-87c1abbea3c0,ADDS\mafifi,1/7/2019 12:14:17 AM,ADDS\mafifi,1/7/2019 12:20:32 AM,bc0e4a34-21f0-4361-9680-bc6734a22fb2,709,1,3_TS only,1,,0,10,-,,Culture,Quarter,No-stratification (totals),,,,,,,,
4,1,ed4dddf2-ef00-4fb8-8d93-96780d545abb,ADDS\mafifi,1/7/2019 12:29:28 AM,ADDS\mafifi,1/7/2019 12:29:28 AM,3cc767d4-d034-417c-b485-9c8b27861d42,709,1,4_Cephalonium+TS,1,,0,10,-,,Culture,Quarter,No-stratification (totals),,,,,,,,
5,1,a38317e1-4c85-4923-9126-07f3e4d54d24,ADDS\mafifi,3/20/2019 5:59:00 PM,ADDS\mafifi,3/20/2019 6:00:02 PM,8fc60e5d-16d9-4db0-a2b6-8af8237c6395,25,1,1_Cloxa,1,15,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
6,1,7f0036ed-8665-4eee-a4e4-53889a197e9b,ADDS\mafifi,3/20/2019 6:01:51 PM,ADDS\mafifi,3/20/2019 6:01:51 PM,1f5b76df-b33f-4550-8bc2-8a3af01a9825,25,1,2_PenicillinG,1,15,,,,,Culture,Cow,No-stratification (totals),,,,,,,,
7,1,583a9d66-b11b-4087-9b7e-dce9245f853e,ADDS\mafifi,3/21/2019 1:24:19 PM,ADDS\mafifi,3/21/2019 1:24:19 PM,e8ce1f96-7f15-48af-9ff9-c771b0493625,108,1,1_Novobiocin+Pen,1,21,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
8,1,5456002a-9784-40d2-9f6e-b830595cc155,ADDS\mafifi,3/21/2019 1:50:45 PM,ADDS\mafifi,3/21/2019 1:50:50 PM,5553a5be-9243-4db2-89af-71ececaec647,108,1,2_Novobiocin+Pen,1,21,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
9,1,f360294f-25bd-461b-a2b4-1c83ad203214,ADDS\mafifi,3/21/2019 1:53:25 PM,ADDS\mafifi,3/21/2019 1:53:25 PM,36ed0164-eb8a-4656-8a65-927b4017db92,108,1,3_-ve control,1,,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
10,1,314fd9d6-f15a-48bf-9ff6-d571b49f8524,ADDS\mafifi,3/22/2019 11:55:37 PM,ADDS\mafifi,3/22/2019 11:55:37 PM,dfa0e122-6867-4cf2-bdfa-985fe962a095,111,1,1_Cephalonium,1,7,,,,400,SCC,Quarter,No-stratification (totals),,,,,,,,
11,1,bc00bb38-6236-4c9b-9e59-d31303d2afa8,ADDS\mafifi,3/22/2019 11:56:17 PM,ADDS\mafifi,3/22/2019 11:56:55 PM,ab7b13bb-4cbf-4d81-a438-0a4597880982,111,1,2_Cloxa,1,7,,,,400,SCC,Quarter,No-stratification (totals),,,,,,,,
12,1,7c009306-2477-4b13-89dc-0ded8cfaa746,ADDS\mafifi,3/22/2019 11:56:45 PM,ADDS\mafifi,3/23/2019 12:11:06 AM,ab7b13bb-4cbf-4d81-a438-0a4597880982,111,1,2_Cloxa,2,,28,35,,,SCC,Quarter,No-stratification (totals),,,,,,,,
13,1,fb23ef3b-f7bc-4754-bb33-3f707e8bfab7,ADDS\mafifi,3/22/2019 11:57:49 PM,ADDS\mafifi,3/23/2019 12:01:42 AM,dfa0e122-6867-4cf2-bdfa-985fe962a095,111,1,1_Cephalonium,2,,28,35,,600,SCC,Quarter,No-stratification (totals),,,,,,,,
14,1,b352a9d0-e2b4-4c6f-a10c-01d7a19a677f,ADDS\mafifi,3/22/2019 11:58:33 PM,ADDS\mafifi,3/23/2019 12:07:51 AM,6d7e3714-d4d5-480a-bde0-2ae4d8e8f831,111,1,3_Cloxa,1,7,,,,400,SCC,Quarter,No-stratification (totals),,,,,,,,
15,1,e3fcf477-f78e-48db-9fb4-82f54c6416b7,ADDS\mafifi,3/22/2019 11:59:26 PM,ADDS\mafifi,3/23/2019 12:07:45 AM,6d7e3714-d4d5-480a-bde0-2ae4d8e8f831,111,1,3_Cloxa,2,,28,35,,400,SCC,Quarter,No-stratification (totals),,,,,,,,
