"UniqueKey","UniqueRowId","GlobalRecordId","RECSTATUS","FKEY","Stratificationlevels","Pathogenspp","Ve","Total","Others_Def"
764,28956ae2-6bcd-404e-b5cc-462c6a19c908,4558a093-39c2-4559-b300-eb167c6061fc,1,2e49d027-08cc-4a06-a2a0-1cbf0af7e589,,E. coli,15,15,
765,fef74ffe-f1e7-455e-a8ad-f04b0618c68c,4558a093-39c2-4559-b300-eb167c6061fc,1,2e49d027-08cc-4a06-a2a0-1cbf0af7e589,,Enterobacteriaceae (non-e-coli),3,3,
766,6dbd5730-1533-4765-9c13-af6cbd13bf50,4558a093-39c2-4559-b300-eb167c6061fc,1,2e49d027-08cc-4a06-a2a0-1cbf0af7e589,,Aerococcus spp.,22,22,
767,754a2718-3e0b-4a2b-a0b3-86015abe81c3,4558a093-39c2-4559-b300-eb167c6061fc,1,2e49d027-08cc-4a06-a2a0-1cbf0af7e589,,Arcanobacterium pyogenes,0,0,
768,6bad1665-4ce9-4ef4-8ddb-3e3daccab81b,4558a093-39c2-4559-b300-eb167c6061fc,1,2e49d027-08cc-4a06-a2a0-1cbf0af7e589,,Others,10,10,
769,fc5cc9fc-f299-4226-8c6d-4316a9ff033d,4558a093-39c2-4559-b300-eb167c6061fc,1,2e49d027-08cc-4a06-a2a0-1cbf0af7e589,,Coagulase-negative staph (CNS),138,189,
770,f59edf5f-7afd-44b7-8dc6-91be789ac0e5,4558a093-39c2-4559-b300-eb167c6061fc,1,2e49d027-08cc-4a06-a2a0-1cbf0af7e589,,Corynebacterium spp. (C.bovis),271,308,
771,52129ab8-ce90-4f23-b47e-842efca17c58,f86558c1-f80a-4aaf-a832-169f8500d207,1,68220cb5-95a8-4ad8-9453-b704ccc00b40,,Strept. Uberis,8,10,
772,a1e60bd4-ad2c-4164-b009-7a13db564db5,f86558c1-f80a-4aaf-a832-169f8500d207,1,68220cb5-95a8-4ad8-9453-b704ccc00b40,,Strept. Dysgalactiae,3,3,
773,21cd1c9f-f4d8-4abc-af56-4a6627347d3b,f86558c1-f80a-4aaf-a832-169f8500d207,1,68220cb5-95a8-4ad8-9453-b704ccc00b40,,Coagulase-positive staph,4,4,
774,4ffd1844-fc35-4616-ae7b-994acdb26d38,f86558c1-f80a-4aaf-a832-169f8500d207,1,68220cb5-95a8-4ad8-9453-b704ccc00b40,,E. coli,11,11,
775,1ad10b5a-c387-4aca-b31a-04976867fc25,f86558c1-f80a-4aaf-a832-169f8500d207,1,68220cb5-95a8-4ad8-9453-b704ccc00b40,,Enterobacteriaceae (non-e-coli),4,4,
776,fd5e98eb-b385-457d-95f4-568f421f1b2e,f86558c1-f80a-4aaf-a832-169f8500d207,1,68220cb5-95a8-4ad8-9453-b704ccc00b40,,Aerococcus spp.,27,27,
