"UniqueKey","UniqueRowId","GlobalRecordId","RECSTATUS","FKEY","Stratificationlevels","Pathogenspp","Ve","Total","Others_Def"
843,7f2dd297-59d7-4ae7-ad2e-c7a362c9b53a,65e393b1-0e9d-46d4-9fbf-2a2d5104c30a,1,ac0af055-c244-4666-bcd7-34dd151544f9,,Strept. Dysgalactiae,1,575,
844,0296e360-c563-46f6-a693-f56e30d93e2e,65e393b1-0e9d-46d4-9fbf-2a2d5104c30a,1,ac0af055-c244-4666-bcd7-34dd151544f9,,Coagulase-positive staph,2,572,
845,6b8b0226-d616-41be-9bbf-aa96e7bb65b5,65e393b1-0e9d-46d4-9fbf-2a2d5104c30a,1,ac0af055-c244-4666-bcd7-34dd151544f9,,E. coli,20,562,
846,6c5dd514-366d-4a69-a0aa-9770c12f6b11,65e393b1-0e9d-46d4-9fbf-2a2d5104c30a,1,ac0af055-c244-4666-bcd7-34dd151544f9,,Enterobacteriaceae (non-e-coli),0,574,
847,fb2ed207-06b9-454a-a366-0d6aab9f92bf,65e393b1-0e9d-46d4-9fbf-2a2d5104c30a,1,ac0af055-c244-4666-bcd7-34dd151544f9,,Aerococcus spp.,10,555,
848,90e769f7-00c6-40cc-ad49-dae1e8d2c4d9,65e393b1-0e9d-46d4-9fbf-2a2d5104c30a,1,ac0af055-c244-4666-bcd7-34dd151544f9,,Arcanobacterium pyogenes,1,580,
849,6e746db0-b7a4-4562-bd1e-62b466fd2a5d,65e393b1-0e9d-46d4-9fbf-2a2d5104c30a,1,ac0af055-c244-4666-bcd7-34dd151544f9,,Others,20,567,
850,10fc11de-da80-4738-9830-f90eac822499,65e393b1-0e9d-46d4-9fbf-2a2d5104c30a,1,ac0af055-c244-4666-bcd7-34dd151544f9,,Enterobacteriaceae (no specification),20,559,
851,fcf474a2-7b36-492f-9724-48b1d751cbc0,65e393b1-0e9d-46d4-9fbf-2a2d5104c30a,1,ac0af055-c244-4666-bcd7-34dd151544f9,,Coagulase-negative staph (CNS),81,388,
852,d3bd2d68-86fe-4eb5-a0f2-4c400260570e,65e393b1-0e9d-46d4-9fbf-2a2d5104c30a,1,ac0af055-c244-4666-bcd7-34dd151544f9,,Corynebacterium spp. (C.bovis),34,269,
853,bae54196-0a65-4537-8a32-ea805316b6d1,664725e4-1804-4c1b-993b-9a35c1c97f70,1,1a0cde31-e87b-4c90-8b2e-c940d5a67f41,,Strept. Uberis,11,603,
