"UniqueKey","RECSTATUS","GlobalRecordId","FirstSaveLogonName","FirstSaveTime","LastSaveLogonName","LastSaveTime","FKEY","StudyID","Author","Year_RW","TypeofPublication","country"
1,1,d4c00790-da63-42e4-8f8d-c6403e740215,,,ADDS\mafifi,9/5/2019 7:39:15 PM,,23,A. C. Whist,2005,Journal article,
2,1,f211bfbb-14ff-4784-8737-0da9ef237b8b,,,ADDS\Hstryhn,9/12/2019 1:23:03 PM,,329,"W. H. Fang, C. H. Jiang and H. R. Liu",1993,Journal article,
3,1,5fd15b28-6de9-450b-b7b5-089f191d0a71,,,ADDS\Hstryhn,9/12/2019 1:23:04 PM,,182,"R. M. Loosmore, D. Howell, A. D. Adams, D. N. Barnett and T. F. Barr",1968,Journal article,
4,1,8bc35b96-7c64-4861-9d07-398bf0a7e4b0,,,ADDS\Hstryhn,9/12/2019 1:23:05 PM,,334,R. J. Eberhart and J. M. Buckalew,1972,Journal article,
5,1,a087e0dc-83cb-49c6-9571-9c068c3786ff,,,ADDS\Hstryhn,9/21/2019 8:03:30 PM,,196,W. J. Meaney,1977,Journal article,Ireland
6,1,97b2fb8e-51ff-4ca1-95b3-b9aba60d8ece,,,ADDS\Hstryhn,9/12/2019 1:23:06 PM,,25,B. Poutrel,1977,Journal article,
7,1,f2c2735d-9002-4d8c-b31b-bcde18055676,,,ADDS\Hstryhn,9/12/2019 1:23:07 PM,,345,"M. Cameron, G. P. Keefe, J. P. Roy, H. Stryhn, I. R. Dohoo and S. L. McKenna",2015,Journal article,
8,1,ca199262-82c6-4a12-9cf8-3e5f5fe7d669,,,ADDS\Hstryhn,9/12/2019 1:23:08 PM,,43,"O. Osteras, L. Sandvik, J. Aursjo, G. G. Gjul and A. Jorstad",1991,Journal article,
9,1,d2452321-fd88-43eb-9a1c-ad1e38a5ccd1,,,ADDS\Hstryhn,9/12/2019 1:23:09 PM,,197,"G. T. Church, L. K. Fox, C. T. Gaskins, D. D. Hancock and J. M. Gay",2008,Journal article,
10,1,0b8e67bd-6f59-4329-8a77-16e3f4cc9731,,,ADDS\Hstryhn,9/12/2019 1:23:10 PM,,59,"S. Janosi, A. Huszenicza, T. Horvath, F. Gemes, M. Kulcsar and G. Huszenicza",2001,Journal article,
